gid,title,authors[0],average_rating,description,num_pages,publication_date
128,The Power of One Christlike Life,Francis Frangipane,4.24,"If you're on the verge of giving up on sinners, or if you've already resigned from the battle against evil, Francis Frangipane has a hopeful message that will cause you to fall to your knees and intercede with love and mercy on the behalf of sinners. Twelve brief biographies of outstanding Christians, including John Wesley, William Booth, and George Mller, provide real-life examples of the ability of a godly intercessor to impact the world for Christ. As you seek God's mercy for others, you will find His mercy for yourself and be transformed in the process. Discover the power waiting to be released by one Christlike life.",159,"('7', '1', '2000')"
129,"The Power of One: One Person, One Rule, One Month",John C. Maxwell,4.26,"In this 30-day companion workbook to <b>There's No Such Thing as ""Business"" Ethics</b>, bestselling author John C. Maxwell demonstrates how we can live with integrity by using the Golden Rule as our standard-in business and in life. In fact, Maxwell suggests the higher standard of exceeding the Golden Rule-by treating people better than they treat us, helping those who cannot help us, doing right when it is natural to do wrong, and keeping promises, even when it hurts.<br /><br />An ethics guide for any situation, each ""day"" of The Power of One offers a Drilling Down section which features a case study or story that illustrates the day's topic, Summarizing Principles on the subject, penetrating questions for Making Evaluation, and points of application for Taking Action. Maxwell reveals the factors that can ""tarnish"" the Golden Rule and teaches how to develop the Midas touch in personal integrity.",256,"('11', '1', '2004')"
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.33,"Praise for The Power of an Hour<br /><br /> ""The master at getting what you want from others now tells us how to get what we want from ourselves! This is really a great book, and I recommend it highly-for you, for your team, and for your children.""<br /> -Bob Burg, author, Endless Referrals<br /><br /> ""If you want to make predictable, systematic change in your life or your business, buy this book. Each chapter is a stand-alone system that results in powerful change . . . fast.""<br /> -David Hancock, The Entrepreneurial Publisher, CEO, Morgan James Publishing<br /><br /> ""Dave's methods helped me take my business from $0 to $10 million in sales.If you're a creative business owner who wants total focus and massive success, run, don't walk, and get this book!""<br /> -Stephanie Frank, author, The Accidental Millionaire<br /><br /> ""The Power of an Hour is a mighty powerful way to sort out your financesby first sorting out yourself!""<br /> -Mark Joyner, #1 bestselling author, The Irresistible Offer<br /><br /> ""The disease of the twenty-first century, no matter who you are or what you do, is Time Deficit Disorder. Dave Lakhani offers a brilliant solution in this book.Get it and take the cure-you'll be surprised how much better you feel!""<br /> -David Garfinkel, author, Customers on Demand",205,"('5', '19', '2006')"
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",Louis E. Catron,3.67,"Read an interview with Lou Catron!<br /><br />The one-person play has a long and distinguished history, as well as being (a) one of the most economical forms of theatre and (b) a wonderful showcase for an actor, a playwright, and a director-especially when all three are the same person! Dean of American playwriting texts, Louis Catron offers an outstanding guide for playwrights, actors, and directors who are interested in working in this form. He demonstrates techniques of writing, acting, and directing that encourage the reader to create a personal theatrical experience. Among the special qualities in the book are:<br /><br />discussions and illustrations of the actor/playwright conundrum<br />tips for solo play actors, directors, and playwrights<br />numerous examples of actual solo play scripts.<br />The book comes complete with exercises for the writer and solid advice for actors and directors.",240,"('2', '7', '2000')"
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",Adam Ginsberg,3.49,"A lively insider's guide to starting a successful small business selling items old and new on eBay, written with personal anecdotes, well–kept secrets, and insider tips by Adam Ginsberg, eBay's most successful private salesperson.<br /><br />This is the insider's guide to making money on eBay. Adam Ginsberg is the most successful seller on eBay, moving around a million dollars' worth of merchandise every month. Not only will he impart his personal secrets on how to sell on eBay –learned through years of experience – and his tips on expanding your small business using eBay as a global market, but he'll also give fun side–notes and anecdotes, keeping the book lively and making it a fun and interesting read.<br /><br />This book will be a must–have for all current and aspiring eBay sellers, all small–business owners, and anyone who wants to learn how to start a million–dollar company.",336,"('5', '3', '2005')"
133,eBay for Dummies,Marsha Collier,3.49,"Thinking about buying or selling items on eBay? Whether you want to use eBay to make smart bids and win auctions or turn household clutter into cash, <i>eBay for Dummies, Fifth Edition</i> is your passport to the most successful trading community on the planet. Beginning with an overview of what eBay is and how to become a registered user, <i>eBay for Dummies</i> helps you discover how you can:<br />Search for items to buy and list items to sell on eBay Place a bid--and determine how much you should spend Use pictures and basic HTML to make your eBay listings more appealing Communicate well and close deals without a problem Identify auction terms (reserve price, starting bid, Buy It Now, etc.) Organize your transactions and interactions using the My eBay page Resolve buying and selling issues with eBay's Trust &amp; Safety program And much more! Registering at eBay makes you part of a really unique community of people who like to collect, buy, and sell items of just about every kind! So if you're ready to join the millions of people who use their home computers to make great deals, buy cool stuff, and turn a profit, <i>eBay for Dummies</i> does all the legwork so you can sit back and let the bidding begin!",386,"('10', '30', '2006')"
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,Debra Schepp,3.59,"Offers user tips for serious eBayer, sharing the wisdom of eBay's upper echelon of sellers for those aspiring to join their ranks. Readers won't have to wade through a lot of prose to extract information. They will be able to quickly zero in on the information they need and use it immediately.",385,"('9', '24', '2004')"
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62,"If you want to build a profitable--and consistent--eBay business, you need to start with strategic product sourcing. <i>What to Sell on eBay and Where to Get It</i> reveals the same techniques used by the most successful e-commerce entrepreneurs and by major retail chains to determine what products will sell well and which suppliers will deliver those products for the best price.<br /><br />Learn to generate product ideas, research your markets, diversify your product line, and build a direct supply of inventory. Using the proven strategies in this book, you'll be able to find the products that will fuel your business for the long term and skyrocket your sales!",260,"('1', '24', '2006')"
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,"Want to pick up extra cash? Explore opening an eBay store? Unload your dusty disco albums or the collection of antlers in the basement? Hey, those poor, dead deer could lead to a rich, lively career. Whether you want to build an eBay business from scratch or just want to make sure you're up on eBay's policy changes and taking advantage of new automation tools, this guide will have you selling successfully on eBay faster than you can say, ""going...going...""<i>Starting an eBay Business For Dummies 2nd Edition</i> gets you organized and in virtual business fast with step-by-step guidance on: Setting up basic auctions Pricing items or setting minimums strategically Using the About Me page to begin creating a professional identity Finding sources of merchandise (once you exhaust your basement, attic, and relatives) Managing your business with online auction management services and software, including a list of 16 popular sites with their prices Writing tempting descriptions and taking good photographs of merchandise Selecting payment systems (and why shipping C.O.D. is a no-no) Handling inventory and keeping records Written by Marsha Collier, author of <i>eBay For Dummies</i> and <i>eBay Bargain Shopping For Dummies, </i> an eBay PowerSeller, columnist, and teacher at eBay University, this book is packed with time-saving, money-saving tips plus secret eBay hints to help you compete with the pros from the get go. It gives you inside information on:<br /><br />eBay motors, real estate, and other unusual areas Dutch auctions, reserve price auctions, and private auctions Using an eBay fee calculator to check your final value fees Shipping and insuring merchandise efficiently and economically Printing shipping labels and postage Complete with a glossary and index, <i>Starting an eBay Business For Dummies 2nd Edition</i> is just what you need to get started selling on eBay, to graduate from occasional seller to PowerSeller, or to become a genuine eBay entrepreneur like the ten whose success stories are featured in this book!",384,"('9', '17', '2004')"
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,"You already know eBay basics. Now you'd like to go beyond with shortcuts, tricks, and tips that let you work smarter and faster. And because you learn more easily when someone shows you how, this is the book for you. Inside, you'll find clear, illustrated instructions for 120 tasks that reveal cool secrets, teach timesaving tricks, and explain great tips guaranteed to make your eBay experience more productive.",260,"('6', '6', '2006')"
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.32,"So, you've gotten started on eBay. You've made a few purchases and your first sale. You may have even built a moneymaking business. Now you're looking for ways to ratchet things up. You're looking for the insider tips and tricks for the easiest ways to take care of listing items, completing transactions, and keeping good records and you don't have the time to do all the research. <i>eBay Timesaving Techniques For Dummies</i> is the book for you. Marsha Collier, an eBay University instructor and best selling author of <i>eBay For Dummies</i> and <i>Starting an eBay Business For Dummies</i>, has collected the fastest and most effective techniques for finding items to sell, setting up your sales pages, pricing items to move, getting the word out about your business, collecting payments, shipping your item, and taking care of all the paperwork. Time is money after all. So why waste time when you can be making money on eBay. This book contains over 60 step-by-step techniques proven to add efficiency to your eBay operation.<br /><br />Includes coverage of:<br /><br /><br />Finding sources for merchandise to sell on eBay Setting attractive prices and shipping costs Handling multiple sales without losing your cool Prettying up your auctions with digital photo and HTML tricks Tracking payments and shipments and keeping your customers happy Working with PayPal, both on and off of eBay Enhancing your status in the eBay community Simplifying your bookkeeping Creating marketing, merchandising, and advertising plans Solving problems quickly when they occur",391,"('5', '31', '2004')"
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,"Bestselling author Marsha Collier presents readers with an all-new guide that goes beyond all previous eBay business books, offering one-stop guidance on eBay techniques as well as entrepreneurial fundamentals. She provides in-depth coverage on the most critical eBay topics, including merchandise sourcing, marketing, advertising, and customer service.<br />The minibooks that make up the guide cover eBay registration, navigation, and buying; getting ready to sell; digital photography and scanning for sales pages; eBay selling and marketing; getting legal and licensed; using auction management software; setting up an office (PCs, Internet, networking, and shipping); and PayPal.<br />* Marsha Collier's eBay books have sold hundreds of thousands of copies and her Starting an eBay Business For Dummies is currently the bestselling eBay reference on the market<br />* This one-stop reference examines not only eBay techniques and issues, but also the basic business strategies that people need to run any successful venture",864,"('4', '25', '2005')"
141,Ruby Cookbook,Lucas Carlson,3.84,"Do you want to push Ruby to its limits? The <i>Ruby Cookbook</i> is the most comprehensive problem-solving guide to today's hottest programming language. It gives you hundreds of solutions to real-world problems, with clear explanations and thousands of lines of code you can use in your own projects.<br /><br /><br /><br />From data structures and algorithms, to integration with cutting-edge technologies, the <i>Ruby Cookbook</i> has something for every programmer. Beginners and advanced Rubyists alike will learn how to program with:<br /><br /><br />Strings and numbers<br />Arrays and hashes<br />Classes, modules, and namespaces<br />Reflection and metaprogramming<br />XML and HTML processing<br />Ruby on Rails (including Ajax integration)<br />Databases<br />Graphics<br />Internet services like email, SSH, and BitTorrent<br />Web services<br />Multitasking<br />Graphical and terminal interfaces<br /><br /><br />If you need to write a web application, this book shows you how to get started with Rails. If you're a system administrator who needs to rename thousands of files, you'll see how to use Ruby for this and other everyday tasks. You'll learn how to read and write Excel spreadsheets, classify text with Bayesian filters, and create PDF files. We've even included a few silly tricks that were too cool to leave out, like how to blink the lights on your keyboard.<br /><br />The <i>Ruby Cookbook</i> is the most useful book yet written about Ruby. When you need to solve a problem, don't reinvent the wheel: look it up in the Cookbook.",873,"('7', '29', '2006')"
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.17,"""Food,"" says Ruby Ann Boxcar, ""is one thing all trailer park people have in common, followed by their undyin' love of Elvis and the reproduction of ugly children."" The recipes of trailer dwellers are unlike any others. Its been known to make men turn championship wrestling off, large women in double knit polyester slacks dance, and derelict children smile. That's why Ruby Ann has taken the time to write down her favorite recipes in an easy to read cookbook (The Down Home Trailer Park Cookbook; A Twister Of Tasty Treats).<br /><br />This cookbook gives the reader a titillating guide to handed down recipes and an insider's look at Ruby Ann's fellow residents at the 20 lot ""High Chaparral Trailer Park"" in Pangburn, Arkansas. Along with good food and gossip, the reader will come face to face with sex, murder, topless dancing, Baptist ministers, adultery, and political secrets. The fact that Ruby Ann Boxcar has lived her entire life in a trailer, and her updo hairstyle, cat eyed glasses, and blue eye shadow insures the reader she knows what she's talking about when it comes to trailer park living. Her 300-pound figure speaks for itself on the question of her cooking credentials.",240,"('5', '3', '2005')"
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,"From Publishers Weekly:<br /><br />Free of the restraints of haute cuisine, the Michelin guide and roofed kitchens in general, Boxcar weighs in with highly entertaining recipes and helpless hints, straight from her double-wide trailer at the High Chaparral Trailer Park in Pangburn, Ark. It should be noted that the term barbecue, in this context, refers to anything edible that has come into contact with a heat source in the out-of-doors. The results are rarely pretty but make for the kind of entertaining reading often associated with milk coming out of one's nose. The necessity for a third volume of such d‚tritus-blanc delicacies (Ruby Anne's Down Home Trailer Park Cookbook started the wheels rolling) was brought about not by the public's overwhelming demand but rather, as the author suggests, by a scarcity of government-surplus cheese, which was a staple of so many of her previous creations: budget-conscious chefs will have to dole out for Velveeta this time around to fill their Armadillo Eggs (a.k.a. stuffed jalapenos). Other frights from the cupboard show up in Billy Bob's Kabobs, a skewer full of Spam and bell peppers. Yes, one could try their hand at El Wienie Mexicano, which takes taco seasoning to a place it best ought not to go, but the better bet is to hit the Taco Bell drive-thru and then settle in with the trailer park updates and cooking tips that bookend the Pork Entombed Trout and the Born-Again Baked Beans. It is here that one discovers how to cook in a lightning storm (""send someone else out to flip the burgers"") and that 57-year-old Donna Sue, over in Lot #6, is still headlining at the Blue Whale Strip Club. <br /><br />Copyright 2003 Reed Business Information, Inc.",206,"('5', '3', '2005')"
146,Ruby's Low-Fat Soul Food Cookbook,Ruby Banks-Payne,4.80,"Enjoy the best of America's traditional soul food cuisine made the healthy way. With ""Ruby's Low-Fat Soul Food Cookbook,"" you can cook up mouthwatering southern dishes including soups, stews, gumbos, salads, main courses, vegetables, sauces, biscuits and breads, desserts, and beverages. Each recipe is a delectable, satisfying celebration of our rich African-American culinary heritage--and, because each recipe contains only a fraction of the fat, cholestrol, and sodium found in other soul food recipes, these dishes noursh the body as well as the soul.",175,"('9', '1', '1996')"
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.46,"<i>Rails Cookbook</i> is packed with the solutions you need to be a proficient developer with Rails, the leading framework for building the new generation of Web 2.0 applications. Recipes range from the basics, like installing Rails and setting up your development environment, to the latest techniques, such as developing RESTful web services.<br /><br />With applications that are code light, feature-full and built to scale quickly, Rails has revolutionized web development. <i>The Rails Cookbook</i> addresses scores of real-world challenges; each one includes a tested solution, plus a discussion of how and why it works, so that you can adapt the techniques to similar situations. Topics include:<br /><br /><br />Modeling data with the ActiveRecord library<br />Setting up views with ActionView and RHTML templates<br />Building your application's logic into ActionController<br />Testing and debugging your Rails application<br />Building responsive web applications using JavaScript and Ajax<br />Ensuring that your application is security and performs well<br />Deploying your application with Mongrel and Apache<br />Using Capistrano to automate deployment<br />Using the many Rails plugins<br />Working with graphics<br /><br /><br />Whether you're new to Rails or an experienced developer, you'll discover ways to test, debug and secure your applications, incorporate Ajax, use caching to improve performance, and put your application into production. Want to get ahead of the Web 2.0 curve? This valuable cookbook will save you hundreds of hours when developing applications with Rails.",514,"('1', '1', '2007')"
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,Ruby Le Bois,3.75,"Spices are essential ingredients in every part of the world, used to heat up the most prosaic ingredients and sharpen the appetite. More than 200 tantalizing recipes show how to add fragrant aroma, piquancy or fierce flavor to any dish. From spicy soups to subtly scented desserts, this guide can help readers cater to every taste. More than 600 color photos.",256,"('12', '1', '2000')"
156,Anna Karenina,Leo Tolstoy,4.05,"A beautiful society wife from St. Petersburg, determined to live life on her own terms, sacrifices everything to follow her conviction that love is stronger than duty. A socially inept but warmhearted landowner pursues his own visions instead of conforming to conventional views. The adulteress and the philosopher head the vibrant cast of characters in <i>Anna Karenina,</i> Tolstoy's tumultuous tale of passion and self-discovery. <br />This novel marks a turning point in the author's career, the juncture at which he turned from fiction toward faith. Set against a backdrop of the historic social changes that swept Russia during the late nineteenth century, it reflects Tolstoy's own personal and psychological transformation. Two worlds collide in the course of this epochal story: that of the old-time aristocrats, who struggle to uphold their traditions of serfdom and authoritarian government, and that of the Westernizing liberals, who promote technology, rationalism, and democracy. This cultural clash unfolds in a compelling, emotional drama of seduction, betrayal, and redemption.",752,"('11', '23', '2004')"
157,Anna Karenina,Leo Tolstoy,4.05,"Married to a powerful government minister, Anna Karenina is a beautiful woman who falls deeply in love with a wealthy army officer, the elegant Count Vronsky. Desperate to find truth and meaning in her life, she rashly defies the conventions of Russian society and leaves her husband and son to live with her lover. Condemned and ostracized by her peers and prone to fits of jealousy that alienate Vronsky, Anna finds herself unable to escape an increasingly hopeless situation.<br /><br /> Set against this tragic affair is the story of Konstantin Levin, a melancholy landowner whom Tolstoy based largely on himself. While Anna looks for happiness through love, Levin embarks on his own search for spiritual fulfillment through marriage, family, and hard work. Surrounding these two central plot threads are dozens of characters whom Tolstoy seamlessly weaves together, creating a breathtaking tapestry of nineteenth-century Russian society.<br /><br /> From its famous opening sentence—""Happy families are all alike; every unhappy family is unhappy in its own way”—to its stunningly tragic conclusion, this enduring tale of marriage and adultery plumbs the very depths of the human soul.",803,"('8', '26', '2004')"
159,Dinner with Anna Karenina,Gloria Goldreich,2.98,"Dinner with Anna Karenina by Gloria Goldreich released on Dec 27, 2005 is available now for purchase.",360,"('1', '28', '2006')"
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.20,This exploration of the subtle psychology in Tolstoy's characterization avoids complex terminology and assumes a readership studying the text in English translation.,128,"('11', '26', '1987')"
162,Untouchable,Mulk Raj Anand,3.73,"Bakha is a young man, proud and even attractive, yet none the less he is an outcast in India's caste system: an Untouchable. This novel describes a day in the life of Bakha, sweeper and toilet-cleaner, as he searches for a meaning to the tragic existence he has been born into - and comes to an unexpected conclusion.",160,"('7', '3', '1990')"
163,The Untouchable,John Banville,3.95,"One of the most dazzling and adventurous writers now working in English takes on the enigma of the Cambridge spies in a novel of exquisite menace, biting social comedy, and vertiginous moral complexity. The narrator is the elderly Victor Maskell, formerly of British intelligence, for many years art expert to the Queen. Now he has been unmasked as a Russian agent and subjected to a disgrace that is almost a kind of death. But at whose instigation?<br /><br />As Maskell retraces his tortuous path from his recruitment at Cambridge to the airless upper regions of the establishment, we discover a figure of manifold doubleness: Irishman and Englishman; husband, father, and lover of men; betrayer and dupe. Beautifully written, filled with convincing fictional portraits of Maskell's co-conspirators, and vibrant with the mysteries of loyalty and identity, <i>The Untouchable</i> places John Banville in the select company of both Conrad and le Carre.<br /><br />Winner of the Lannan Literary Award for Fiction<br /><br />""Contemporary fiction gets no better than this... Banville's books teem with life and humor."" - Patrick McGrath, <i>The New York Times Book Review</i><br />""Victor Maskell is one of the great characters in recent fiction... <i>The Untouchable</i> is the best work of art in any medium on [its] subject."" -<i>Washington Post Book World</i><br />""As remarkable a literary voice as any to come out of Ireland; Joyce and Beckett notwithstanding."" -<i>San Francisco Chronicle</i>",368,"('6', '30', '1998')"
164,The Untouchables,Eliot Ness,3.89,"<i>The Untouchables</i> is the gripping true story of the team of men who broke the back of the vicious Chicago crime mob and its stranglehold on the nation, told by the man who orchestrated the effort. Enormously successful as a long-running TV series, <i>The Untouchables</i> should leap onto the bestseller lists when released as a major motion picture in June, starring Robert DeNiro and Sean Connery.",256,"('2', '1', '1996')"
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.83,"Every sixth human being in the world today is an Indian, and every sixth Indian is an untouchable. For thousands of years the untouchables, or Dalits, the people at the bottom of the Hindu caste system, have been treated as subhuman. Their story has rarely been told. This remarkable book achieves something altogether unprecedented: it gives voice to India's voiceless. <br /> In <i>Untouchables,</i> Narendra Jadhav tells the awe-inspiring story of his family's struggle for equality and justice in India. While most Dalits had accepted their lowly position as fate, Jadhav's father rebelled against the oppressive caste system and fought against all odds to forge for his children a destiny that was never ordained. <br /> Based on his father's diaries and family stories, Jadhav has written the triumphant story of his parents -- their great love, unwavering courage, and eventual victory in the struggle to free themselves and their children from the caste system. Jadhav vividly brings his parents' world to light and unflinchingly documents the life of untouchables -- the hunger, the cruel humiliations, the perpetual fear and brutal abuse. <br /> Compelling and deeply compassionate, <i>Untouchables</i> is a son's tribute to his parents, an illuminating chronicle of one of the most important moments in Indian history, and an eye-opening work of nonfiction that gives readers access and insight into the lives of India's 165 million Dalits, whose struggle for equality continues even today.",320,"('9', '27', '2005')"
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.20,"After Centuries of slavery, apartheid and ethnocide, the silence is broken. One hundred million Dalits in India, the twentieth century's largest, most repressed minority, cry out for the ear of the world.",100,"('1', '28', '1995')"
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",Oliver Mendelsohn,4.00,"In a compelling account of the lives of those at the bottom of Indian society, the authors explore the construction of the Untouchables as a social and political category, the historical background that led to such a definition and their position in India today. The authors argue that, despite efforts to ameliorate their condition, a considerable edifice of discrimination persists. The book promises to make a major contribution to the social and economic debates on poverty, while its wide-ranging perspectives will ensure a readership from across the disciplines.",308,"('4', '28', '1998')"
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.71,"There is much in Vasant Moon's story of his vasti, his childhood neighborhood in India, that would probably be true of any ghetto anywhere in the world. There is hunger and deprivation, to be sure, but also a sense of community, an easy acceptance of petty crime and violence, the saving grace of sports and organized activities led by caring adults, the off-again on-again aid from relatives, the inexplicable cruelty and unexpected generosity, and escape through education. But there is much here that is peculiarly and vividly Indian as well. Primary among these is the factor of caste, a hierarchical system unrelated to race but based on ancient principles of hereditary pollution and purity, with Brahmans the purest and Untouchables the most polluted. Second is the presence of a hero so important he is described as a ""wave,"" and surely no despised group has ever had a leader as meaningful as Dr. B. R. (Babasaheb) Ambedkar was and remains for India's awakened and ambitious Dalits. Third is nature, with Moon's compelling descriptions of Nagpur's heat and the vivid joy brought by the monsoon. Indeed, every tree, every fruit, every nook and cranny of the world in and around the vasti plays an important part in his story. Dalit literature, poetry, plays, and autobiographies have been one of the most important developments in the culture of India in the past thirty years, yet little has been translated for a Western audience. Vasant Moon's Growing Up Untouchable, the first Dalit autobiography to be published in English, is a moving and eloquent testament to a uniquely Indian life as well as to the universal human spirit.",224,"('12', '20', '2000')"
170,The Book of Evidence,Peter Achinstein,3.83,"What is required for something to be evidence for a hypothesis? <br /><br />In this fascinating, elegantly written work, distinguished philosopher of science Peter Achinstein explores this question, rejecting typical philosophical and statistical theories of evidence. He claims these theories are much too weak to give scientists what they want--a good reason to believe--and, in some cases, they furnish concepts that mistakenly make all evidential claims a priori. <br /><br />Achinstein introduces four concepts of evidence, defines three of them by reference to ""potential"" evidence, and characterizes the latter using a novel epistemic interpretation of probability. The resulting theory is then applied to philosophical and historical issues. Solutions are provided to the ""grue,"" ""ravens,"" ""lottery,"" and ""old-evidence"" paradoxes, and to a series of questions. These include whether explanations or predictions furnish more evidential weight, whether individual hypotheses or entire theoretical systems can receive evidential support, what counts as a scientific discovery, and what sort of evidence is required for it. The historical questions include whether Jean Perrin had non-circular evidence for the existence of molecules, what type of evidence J.J. Thomson offered for the existence of the electron, and whether, as is usually supposed, he really discovered the electron. Achinstein proposes answers in terms of the concepts of evidence introduced. <br /><br />As the premier book in the fabulous new series Oxford Studies in Philosophy of Science, this volume is essential for philosophers of science and historians of science, as well as for statisticians, scientists with philosophical interests, and anyone curious about scientific reasoning.",304,"('11', '20', '2003')"
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.40,"During the 21st Century, social workers will increasingly use evidence-based knowledge to plan, implement, and evaluate the quality of their own professional activities. This book explores the skills needed for evidence-based social work (EBSW). This book emphasizes the importance of applied practice, critical thinking, and self-directed lifelong learning. Readers will learn the fundamentals of the EBSW skills, practice them to establish beginning proficiency, and then apply them to a target client group of their choosing. Social workers and anyone interested in practicing evidence-based social work.",216,"('9', '22', '2003')"
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4.15,"This resource is directly related to its literature equivalent and filled with a variety of cross-curricular lessons to do before, during, and after reading the book. This reproducible book includes sample plans, author information, vocabulary building ideas, cross-curriculum activities, sectional activities and quizzes, unit tests, and ideas for culminating and extending the novel.",48,"('9', '28', '1991')"
180,Wrinkles in Time,George Smoot,4.02,"In April 1992, a discovery was made that changed the way we view the world. Dr. George Smoot, a distinguished cosmologist and adventurer whose quest for cosmic knowledge had taken him from the Brazilian rain forest to the South Pole, unveiled his momentous discovery, bringing to light the very nature of the universe. For anyone who has ever looked up at the night sky and wondered, for anyone who has ever longed to pull aside the fabric of the universe for a glimpse of what lies behind it. <i>Wrinkles in Time</i> is the story of Smoot's search to uncover the cosmic seeds of the universe.<br /><br /><i>Wrinkles in Time</i> is the Double Helix of cosmology, an intimate look at the inner world of men and women who ask. ""Why are we here?"" It tells the story of George Smoot's dogged pursuit of the cosmic wrinkles in the frozen wastes of Antarctica, on mountaintops, in experiments borne aloft aboard high-altitude balloons, U-2 spy planes, and finally a space satellite. <i>Wrinkles in Time</i> presents the hard science behind the structured violence of the big bang theory through breathtakingly clear, lucid images and meaningful comparisons. Scientists and nonscientists alike can follow with rapt attention the story of how, in a fiery creation, wrinkles formed in space ultimately to become stars, galaxies, and even greater delicate structures. Anyone can appreciate the implications of a universe whose end is written in its beginnings - whose course developed according to a kind of cosmic DNA, which guided the universe from simplicity and symmetry to ever-greater complexity and structure. As controversial as it may seem today, <i>Wrinkles in Time</i> reveals truths that, in an earlier century, would have doomed its proclaimers to the fiery stake. For four thousand years some people have accepted the Genesis account of cosmic origin; for most of this century, scientists debated two rival scientific explanations known as the steady state and big bang theories. And now, <i>Wrinkles in Time</i> tells what really happened.<br /> <br />The personal story behind astrophysicist George Smoot's incredible discovery of the origin of the cosmos, hailed by Stephen Hawking as ""The scientific discovery of the century, if not of all time.""",360,"('10', '1', '1994')"
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.00,"Now, 40 years after A Wrinkle in Time was first published to become one of the landmark books in childrens' literature, Square Fish is proud to present this Newbery Medal winner, completely redesigned and with bonus material, including an appreciation by Anna Quindlen, a new interview with Madeleine L'Engle, and the author's Newbery Medal acceptance speech.<p><br /><br />Everyone in town thinks Meg is volatile and dull-witted and that her younger brother Charles Wallace is dumb. People are also saying that their father has run off and left their brilliant scientist mother. Spurred on by these rumors, Meg and Charles Wallace, along with their new friend Calvin, embark on a perilous quest through space to find their father. In doing so they must travel behind the shadow of an evil power that is darkening the cosmos, one planet at a time.</p><p><br />Young people who have trouble finding their place in the world will connect with the ""misfit"" characters in this provocative story. This is no superhero tale, nor is it science fiction, although it shares elements of both. The travelers must rely on their individual and collective strengths, delving deep into their characters to find answers.</p><p><br />A classic since 1962, Madeleine L'Engle's <i>A Wrinkle in Time</i> is sophisticated in concept yet warm in tone, with mystery and love coursing through its pages. Meg's shattering yet ultimately freeing discovery that her father is not omnipotent provides a satisfying coming-of-age element. Readers will feel a sense of power as they travel with these three children, challenging concepts of time, space, and the power of good over evil. <i> (Ages 9 to 12)</i></p><p>
  <br />
</p> <br />One stormy night a strange visitor comes to the Murry house and beckons Meg, her brother, Charles Wallace, and their friend Calvin O'Keefe on a most dangerous and fantastic journey—a journey that will threaten their lives and our universe.<p><br /><br />Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time.</p><p><br /><br />Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?</p>",250,"('5', '1', '2002')"
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.60,"This one-of-a-kind guide to running literature circles, based on Madeline L’Engle’s <i>A Wrinkle in Time</i>, shows teachers how to organize small discussion groups that work! Includes stimulating questions and writing prompts that motivate students to think and respond thoughtfully. As students dive into lively discussions, they learn to identify themes, analyze vocabulary, recognize the author’s craft, and respond meaningfully to the text—all of which meet state and national language arts standards. For use with Grades 4-8.",32,"('1', '1', '2002')"
183,Un raccourci dans le temps,Madeleine L'Engle,4.00,"Meg Murry ne dort pas cette nuit.<br /><br />Dehors, la tempête fait rage et son père est parti depuis si longtemps... Charles Wallace, son petit frère, est dans la cuisine. Il attend Meg. Il sait qu'elle va descendre. Et qu'une fabuleuse vieille dame, Mrs. Quiproquo, va frapper à la porte et les emmener à la recherche de leur père, dans la cinquième dimension.",254,"('4', '28', '1997')"
